"YEAR","STATIONID","SPECIES_CODE","WGTCPUE"
2005,"K-14",10130,0
2005,"H-11",10110,643.436190323074
2005,"H-09",10285,853.265423324375
2005,"D-09",21740,13904.3585066468
2005,"E-05",10285,1220.18576050249
2005,"K-19",10130,205.06633633535
2005,"G-21",10210,1441.25387431959
2005,"G-21",10110,2281.66108641408
2005,"V-25",10285,3947.32336369892
2005,"P-30",21740,2887.33639287048
2005,"H-10",10285,1082.4338259329
2005,"E-06",10130,1514.4789574555
2005,"F-04",10210,7623.60835623355
2005,"Q-02",10285,685.760130402669
2005,"H-25",10210,0
2005,"J-24",10210,0
2005,"K-24",10110,786.621088840388
2005,"T-28",10285,0
2005,"S-31",21740,1006.20353850373
2005,"Q-31",10110,1092.16621518389
2005,"M-29",10110,1469.32750282028
2006,"H-12",10285,800.076229173415
2006,"K-12",10130,0
2006,"G-10",10285,3615.6113355683
2006,"O-26",10110,52.5883640913356
2006,"H-26",10130,1374.50803768014
2006,"G-18",10210,2088.51336220984
2006,"O-24",10285,96.7348997505128
2006,"V-26",10110,0
2006,"N-27",10210,0
2006,"J-11",10130,172.241063211519
2006,"I-05",21740,632.07568212298
2006,"H-05",10210,11462.3470728058
2006,"I-01",10130,13.3237521111465
2006,"H-01",10210,3529.01065718259
2006,"L-01",10210,6284.38061141154
2006,"R-23",10130,0
2006,"G-21",10130,8510.97781156439
2006,"J-23",10130,5271.77790287108
2006,"E-20",10210,0
2006,"R-25",10285,1473.59742044093
2006,"S-29",10285,0
2006,"Q-30",21740,3332.63948495106
2006,"O-31",10110,15169.5060176979
2006,"N-31",10110,2246.98983016692
2007,"H-09",10210,7769.49722968357
2007,"N-06",21740,70.3054474159332
2007,"B-04",10130,1239.75587876139
2007,"J-03",10285,935.906947026832
2007,"N-03",21740,73.5156891895546
2007,"L-18",21740,318.237423451089
2007,"M-23",21740,2211.58178535654
2007,"M-23",10210,227.922481480612
2007,"H-24",21740,9106.11445437169
2007,"B-02",10110,3570.88546662993
2007,"C-02",10210,0
